make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,country
CITROEN,C1,6200,Gasolina,2017.0,50071,82.0,5,Manual,Blanco,6,True,Tenerife,Spain
FORD,Transit Connect,7851,Diésel,2016.0,103000,100.0,4,Manual,Blanco,10,True,Barcelona,Spain
VOLKSWAGEN,Caravelle,19426,Diésel,2014.0,120000,140.0,4,Manual,Blanco,9,True,Navarra,Spain
FORD,Transit,22850,Diésel,2017.0,107000,130.0,2,Manual,Blanco,4,True,Sevilla,Spain
PEUGEOT,3008,11490,Gasolina,2016.0,78665,130.0,5,Manual,Blanco,32,True,Madrid,Spain
LAND-ROVER,Discovery Sport,28500,Diésel,2017.0,36238,150.0,5,Automático,Blanco,47,True,Baleares,Spain
HONDA,Civic,8200,Diésel,2012.0,203000,150.0,5,Manual,Blanco,15,False,Barcelona,Spain
CITROEN,Berlingo,12100,Gasolina,2018.0,45000,110.0,5,Manual,Azul,6,False,Alicante,Spain
NISSAN,NOTE,6300,Gasolina,2016.0,77000,80.0,5,Manual,Blanco,6,False,Barcelona,Spain
CITROEN,Berlingo,13900,Diésel,2017.0,81000,100.0,5,Manual,Gris / Plata,21,True,Murcia,Spain
VOLKSWAGEN,Polo,1300,Gasolina,2001.0,217000,75.0,3,Manual,Azul,1,False,Barcelona,Spain
MERCEDES-BENZ,Clase CL,6900,Gasolina,2001.0,169450,306.0,2,Automático,Gris / Plata,13,True,Málaga,Spain
FIAT,Panda,9500,Diésel,2017.0,101623,95.0,5,Manual,296 Blanco Gelato (pastel),22,True,Madrid,Spain
SKODA,Octavia,13990,Gasolina,2019.0,7591,115.0,5,Manual,Gris / Plata,10,True,Madrid,Spain
CITROEN,C-Elysée,4990,Gasolina,2014.0,80000,115.0,4,Manual,Gris / Plata,9,True,Las Palmas,Spain
FIAT,Doblò,8000,Diésel,2010.0,135000,120.0,5,Manual,Granate,9,False,Navarra,Spain
FORD,C-Max,12700,Gasolina,2018.0,53000,125.0,5,Manual,Gris / Plata,14,True,Alicante,Spain
CITROEN,C3,12490,Gasolina,2019.0,13000,68.0,5,Manual,Negro,7,True,Granada,Spain
BMW,Serie 1,28900,Diésel,2020.0,5000,116.0,5,Automático,Gris / Plata (B39 Pintura metalizada Mineralgrau),4,True,Barcelona,Spain
OPEL,Astra,8490,Diésel,2014.0,139990,130.0,5,Manual,Gris / Plata,33,True,Madrid,Spain
AUDI,A3,5000,Diésel,2006.0,222500,140.0,5,Manual,Gris / Plata,6,False,Barcelona,Spain
VOLVO,XC60,10890,Diésel,2009.0,214650,175.0,5,Automático,Blanco,36,True,Barcelona,Spain
MITSUBISHI,ASX,15300,Diésel,2016.0,67602,114.0,5,Manual,Gris / Plata,12,True,Madrid,Spain
FORD,Focus,12790,Gasolina,2018.0,29000,125.0,5,Manual,Gris / Plata,0,True,Madrid,Spain
FIAT,500L,12800,Diésel,2016.0,60029,120.0,5,Manual,Rojo,14,True,Málaga,Spain
BMW,Serie 3,10000,Diésel,2009.0,162000,177.0,2,Automático,Blanco,25,True,Madrid,Spain
FORD,S-MAX,29300,Diésel,2019.0,11936,150.0,5,Automático,Negro,30,True,Lugo,Spain
RENAULT,Captur,14650,Gasolina,2019.0,14000,90.0,5,Manual,Blanco,10,True,Madrid,Spain
SEAT,Ibiza,11400,Gasolina,2017.0,28000,110.0,5,Automático,Negro,6,False,Barcelona,Spain
BMW,Serie 5,18900,Diésel,2014.0,99800,190.0,4,Automático,Azul,29,True,Asturias,Spain
PEUGEOT,508 Hybrid,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,Blanco (Blanco nacarado),22,True,Pontevedra,Spain
PEUGEOT,308,6750,Diésel,2015.0,215000,120.0,5,Automático,Negro,9,True,Córdoba,Spain
KIA,XCeed,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,Cassa White (WD),6,True,Murcia,Spain
OPEL,Insignia,9500,Diésel,2016.0,101859,120.0,5,Manual,Blanco (Sensor Parking),21,True,Madrid,Spain
VOLKSWAGEN,Golf,11300,Diésel,2016.0,77867,110.0,5,Manual,Z2Z2 Azul Noche (metalizado),26,True,Barcelona,Spain
