make,error_abs
AUDI,2600.0555636274134
BMW,2696.528853685686
CITROEN,1567.276139116177
FIAT,1452.9902405040534
FORD,1752.978464038801
HYUNDAI,1887.1992609197443
KIA,1814.4194532008987
LAND-ROVER,4524.63311613708
MERCEDES-BENZ,3412.530457713506
MINI,1718.8867843400187
NISSAN,1798.4896496188255
OPEL,1513.160259255101
PEUGEOT,1610.8637181912088
RENAULT,1594.0322920761269
SEAT,1518.2062814780297
SKODA,1893.0301571800596
TOYOTA,1902.642769801363
VOLKSWAGEN,1905.6589952902818
VOLVO,2494.2087812090253
